Station_ID,DATE,LAT,LON,Soil_Moisture,Temp_Avg,Temp_Max,Temp_Min,Earth_Skin_Temp,Rel_Humidity,Root_Soil_Wetness,Precip_Corrected,Master_Index,HIGH,LOW,OPEN,CLOSE,VOLUME
10,2024-02-01,5.25,-6.25,0.69,27.24,30.0,24.87,27.56,84.25,0.6,0.39,337,4981.0,4828.0,4832.0,4956,36184.0
10,2024-02-02,5.25,-6.25,0.69,28.23,32.15,24.85,28.43,78.16,0.6,0.23,338,5032.0,4939.0,4990.0,5009,37945.0
10,2024-02-05,5.25,-6.25,0.68,26.68,29.53,23.94,26.63,79.84,0.6,0.0,341,5249.0,5010.0,5035.0,5189,37591.0
10,2024-02-06,5.25,-6.25,0.68,26.67,29.26,23.93,26.17,77.25,0.6,0.0,342,5288.0,5133.0,5244.0,5220,36089.0
10,2024-02-07,5.25,-6.25,0.68,26.81,31.05,22.96,26.88,76.06,0.6,0.0,343,5429.0,5194.0,5219.0,5410,42231.0
10,2024-02-08,5.25,-6.25,0.67,27.14,30.68,24.56,27.31,81.66,0.6,0.0,344,5874.0,5451.0,5488.0,5805,37991.0
10,2024-02-09,5.25,-6.25,0.67,27.47,31.3,23.99,27.96,81.38,0.59,0.0,345,6030.0,5528.0,5900.0,5888,35319.0
10,2024-02-12,5.25,-6.25,0.66,27.6,29.81,25.48,27.81,86.19,0.59,0.0,348,5958.0,5773.0,5868.0,5860,16137.0
10,2024-02-13,5.25,-6.25,0.66,27.96,31.23,25.4,28.37,85.72,0.59,0.0,349,6029.0,5815.0,5828.0,6001,12137.0
10,2024-02-14,5.25,-6.25,0.66,28.31,31.95,25.55,28.88,83.66,0.59,0.0,350,6039.0,5812.0,6008.0,5949,9014.0
10,2024-02-15,5.25,-6.25,0.66,28.21,31.44,25.66,28.49,84.62,0.58,0.76,351,6030.0,5888.0,5956.0,5961,6096.0
10,2024-02-16,5.25,-6.25,0.66,28.04,30.88,25.65,28.15,83.53,0.58,0.89,352,5964.0,5689.0,5947.0,5706,10725.0
10,2024-02-20,5.25,-6.25,0.65,27.87,31.22,25.33,28.13,84.03,0.58,1.86,356,6069.0,5750.0,5750.0,5999,6822.0
10,2024-02-21,5.25,-6.25,0.65,26.99,29.01,25.59,27.02,88.28,0.58,3.37,357,6311.0,6022.0,6050.0,6198,2545.0
