Station_ID,DATE,LAT,LON,Soil_Moisture,Temp_Avg,Temp_Max,Temp_Min,Earth_Skin_Temp,Rel_Humidity,Root_Soil_Wetness,Precip_Corrected
0,2023-03-01,4.75,-8.25,0.73,26.97,28.95,25.33,27.32,83.49,0.74,0.98
1,2023-03-01,4.75,-7.75,0.69,26.72,29.31,24.56,26.82,84.77,0.68,0.87
2,2023-03-01,4.75,-7.25,0.68,26.67,29.38,24.41,26.69,85.31,0.66,0.94
3,2023-03-01,4.75,-6.75,0.7,26.88,29.09,24.94,26.96,84.96,0.67,1.29
4,2023-03-01,4.75,-6.25,0.64,27.43,28.94,26.01,27.72,83.81,0.62,1.35
5,2023-03-01,4.75,-5.75,0.65,27.61,28.75,26.6,27.85,83.61,0.63,1.43
6,2023-03-01,5.25,-8.25,0.69,26.18,29.65,23.44,26.3,84.69,0.68,1.78
7,2023-03-01,5.25,-7.75,0.7,26.13,29.73,23.09,26.1,85.63,0.66,1.83
8,2023-03-01,5.25,-7.25,0.72,26.18,29.86,22.98,26.07,85.51,0.65,2.15
9,2023-03-01,5.25,-6.75,0.74,26.28,29.91,23.13,26.18,84.68,0.66,2.78
10,2023-03-01,5.25,-6.25,0.71,26.69,30.07,23.74,26.78,84.16,0.64,2.87
11,2023-03-01,5.25,-5.75,0.67,26.89,29.98,24.35,27.01,84.01,0.61,2.83
12,2023-03-01,5.25,-5.25,0.59,27.35,30.29,25.06,27.54,82.64,0.55,3.18
13,2023-03-01,5.25,-4.75,0.49,27.73,30.55,25.68,27.97,81.41,0.48,3.73
14,2023-03-01,5.25,-4.25,0.41,27.88,30.45,26.09,28.1,81.04,0.42,4.35
15,2023-03-01,5.25,-3.75,0.43,27.76,29.9,26.21,27.89,81.59,0.43,5.02
16,2023-03-01,5.25,-3.25,0.52,27.65,29.76,26.09,27.74,81.89,0.52,6.2
17,2023-03-01,5.25,-2.75,0.52,27.41,30.09,25.6,27.5,82.34,0.53,6.58
18,2023-03-01,5.75,-8.25,0.67,25.99,30.18,22.64,25.98,83.35,0.63,2.67
19,2023-03-01,5.75,-7.75,0.7,26.06,30.0,22.61,25.93,83.88,0.64,2.83
20,2023-03-01,5.75,-7.25,0.73,26.12,30.1,22.56,25.86,83.62,0.64,3.33
21,2023-03-01,5.75,-6.75,0.74,26.11,30.34,22.44,25.82,82.89,0.65,4.18
22,2023-03-01,5.75,-6.25,0.73,26.26,30.66,22.54,26.21,82.84,0.65,4.19
23,2023-03-01,5.75,-5.75,0.66,26.52,31.01,22.89,26.66,81.97,0.6,4.09
24,2023-03-01,5.75,-5.25,0.58,27.2,31.88,23.57,27.56,79.48,0.55,4.38
25,2023-03-01,5.75,-4.75,0.51,27.79,32.6,24.24,28.31,77.26,0.5,4.77
26,2023-03-01,5.75,-4.25,0.47,27.96,32.62,24.68,28.48,76.74,0.48,5.06
27,2023-03-01,5.75,-3.75,0.45,27.52,31.43,24.74,27.82,78.94,0.45,5.17
28,2023-03-01,5.75,-3.25,0.51,27.16,30.62,24.6,27.34,80.99,0.51,5.91
29,2023-03-01,5.75,-2.75,0.51,26.98,30.84,24.31,27.17,81.2,0.52,6.39
30,2023-03-01,6.25,-8.25,0.66,25.99,30.5,22.4,25.93,82.11,0.61,3.17
31,2023-03-01,6.25,-7.75,0.69,25.9,29.85,22.41,25.64,82.99,0.62,3.2
32,2023-03-01,6.25,-7.25,0.7,25.94,29.78,22.4,25.55,82.61,0.62,3.7
33,2023-03-01,6.25,-6.75,0.7,26.01,30.17,22.32,25.6,81.77,0.63,4.79
34,2023-03-01,6.25,-6.25,0.7,25.95,30.49,22.28,25.8,82.59,0.63,4.78
35,2023-03-01,6.25,-5.75,0.64,26.4,31.33,22.59,26.54,80.22,0.59,4.73
36,2023-03-01,6.25,-5.25,0.57,27.24,32.45,23.25,27.73,76.49,0.54,5.13
37,2023-03-01,6.25,-4.75,0.51,27.97,33.42,23.9,28.69,73.33,0.5,5.52
38,2023-03-01,6.25,-4.25,0.48,28.22,33.66,24.29,28.93,72.26,0.48,5.55
39,2023-03-01,6.25,-3.75,0.45,27.68,32.46,24.34,28.2,74.44,0.45,4.96
40,2023-03-01,6.25,-3.25,0.47,27.22,31.43,24.17,27.56,76.69,0.47,4.82
41,2023-03-01,6.25,-2.75,0.49,27.1,31.5,24.0,27.47,76.74,0.5,5.04
42,2023-03-01,6.75,-8.25,0.6,26.3,31.75,22.27,26.46,78.88,0.57,2.6
43,2023-03-01,6.75,-7.75,0.62,25.72,29.99,22.22,25.55,82.18,0.57,2.48
44,2023-03-01,6.75,-7.25,0.63,25.5,29.16,22.31,25.1,83.5,0.57,2.94
45,2023-03-01,6.75,-6.75,0.63,25.58,29.32,22.45,25.15,83.19,0.56,4.2
46,2023-03-01,6.75,-6.25,0.64,25.56,29.63,22.43,25.47,83.81,0.56,4.54
47,2023-03-01,6.75,-5.75,0.6,26.19,30.94,22.79,26.44,80.16,0.54,4.67
48,2023-03-01,6.75,-5.25,0.54,27.16,32.29,23.48,27.75,75.33,0.51,5.32
49,2023-03-01,6.75,-4.75,0.49,28.03,33.39,24.11,28.79,71.28,0.48,5.94
50,2023-03-01,6.75,-4.25,0.46,28.44,33.84,24.46,29.16,69.47,0.46,6.03
51,2023-03-01,6.75,-3.75,0.46,28.05,33.12,24.46,28.65,70.88,0.46,5.14
52,2023-03-01,6.75,-3.25,0.43,27.68,32.12,24.37,28.14,71.2,0.43,4.19
53,2023-03-01,6.75,-2.75,0.44,27.53,32.02,24.17,27.99,71.06,0.44,4.25
54,2023-03-01,7.25,-8.25,0.5,26.74,33.48,22.07,27.08,72.76,0.49,1.67
55,2023-03-01,7.25,-7.75,0.52,25.84,31.17,22.0,25.91,78.26,0.5,1.54
56,2023-03-01,7.25,-7.25,0.57,25.34,29.48,22.22,25.2,82.61,0.52,1.91
57,2023-03-01,7.25,-6.75,0.58,25.37,28.96,22.64,25.2,83.93,0.52,2.98
58,2023-03-01,7.25,-6.25,0.57,25.39,28.98,22.74,25.49,83.66,0.5,3.63
59,2023-03-01,7.25,-5.75,0.55,25.97,30.34,23.11,26.35,80.33,0.49,4.07
60,2023-03-01,7.25,-5.25,0.5,26.9,31.9,23.7,27.56,75.36,0.47,4.95
61,2023-03-01,7.25,-4.75,0.47,27.94,33.27,24.3,28.71,70.23,0.46,5.83
62,2023-03-01,7.25,-4.25,0.46,28.66,34.02,24.66,29.34,66.96,0.46,6.26
63,2023-03-01,7.25,-3.75,0.46,28.46,33.73,24.49,28.94,68.03,0.47,5.77
64,2023-03-01,7.25,-3.25,0.41,28.09,32.66,24.44,28.63,67.43,0.42,4.15
