Date,HIGH,LOW,OPEN,CLOSE,VOLUME,DATE
2023-10-02,3525,3432,3432,3502,27425,2023-10-02
2023-10-03,3508,3414,3487,3428,22599,2023-10-03
2023-10-04,3453,3410,3414,3431,15882,2023-10-04
2023-10-05,3445,3375,3438,3400,22992,2023-10-05
2023-10-06,3469,3373,3392,3453,22147,2023-10-06
2023-10-09,3465,3406,3460,3435,14886,2023-10-09
2023-10-10,3479,3432,3444,3474,15117,2023-10-10
2023-10-11,3490,3426,3485,3432,14216,2023-10-11
2023-10-12,3503,3460,3480,3490,19367,2023-10-12
2023-10-13,3514,3455,3488,3499,17559,2023-10-13
2023-10-16,3613,3506,3513,3591,30432,2023-10-16
2023-10-17,3642,3570,3584,3635,20606,2023-10-17
2023-10-18,3672,3615,3627,3639,23508,2023-10-18
2023-10-19,3700,3630,3660,3648,21540,2023-10-19
2023-10-20,3710,3603,3616,3694,20399,2023-10-20
2023-10-23,3786,3715,3726,3759,20738,2023-10-23
2023-10-24,3778,3701,3774,3729,23275,2023-10-24
2023-10-25,3781,3716,3722,3735,19776,2023-10-25
2023-10-26,3837,3732,3739,3810,22206,2023-10-26
2023-10-27,3871,3808,3812,3852,22900,2023-10-27
2023-10-30,3880,3810,3860,3826,16837,2023-10-30
2023-10-31,3874,3795,3839,3817,22845,2023-10-31
2023-11-01,3825,3781,3806,3794,16708,2023-11-01
2023-11-02,3867,3809,3810,3865,19046,2023-11-02
2023-11-03,3906,3823,3859,3898,25573,2023-11-03
2023-11-06,3954,3865,3900,3914,45901,2023-11-06
2023-11-07,3969,3866,3935,3883,34321,2023-11-07
2023-11-08,3933,3844,3885,3916,35999,2023-11-08
2023-11-09,3974,3924,3935,3949,19754,2023-11-09
2023-11-10,4012,3942,3942,3991,18417,2023-11-10
2023-11-13,4060,3990,3998,4051,12766,2023-11-13
2023-11-14,4110,3914,4067,3946,21864,2023-11-14
2023-11-15,3969,3886,3925,3939,10180,2023-11-15
2023-11-16,4040,3974,3974,4004,7246,2023-11-16
2023-11-17,4091,4002,4003,4083,8589,2023-11-17
2023-11-20,4099,4021,4069,4034,10602,2023-11-20
2023-11-21,4267,4046,4050,4227,9761,2023-11-21
2023-11-22,4260,4160,4253,4173,713,2023-11-22
2023-11-24,4251,4235,4251,4219,33,2023-11-24
2023-11-27,4267,4220,4220,4260,321,2023-11-27
2023-11-28,4381,4263,4291,4370,86,2023-11-28
2023-11-29,4419,4375,4375,4438,12,2023-11-29
2023-11-30,4463,4428,4428,4475,15,2023-11-30
2023-12-01,4428,4399,4428,4398,14,2023-12-01
2023-12-04,4253,4253,4253,4271,15,2023-12-04
2023-12-05,4240,4240,4240,4206,7,2023-12-05
2023-12-06,4230,4206,4206,4241,39,2023-12-06
2023-12-07,4366,4366,4366,4340,1,2023-12-07
2023-12-08,,,,4381,,2023-12-08
2023-12-11,4419,4388,4419,4351,5,2023-12-11
2023-12-12,4478,4456,4478,4375,6,2023-12-12
2023-12-13,,,,4395,,2023-12-13
2023-12-14,4317,4237,4270,4267,25216,2023-12-14
2023-12-15,4282,4231,4273,4244,19048,2023-12-15
2023-12-18,4307,4241,4255,4271,18493,2023-12-18
2023-12-19,4307,4254,4285,4289,16193,2023-12-19
2023-12-20,4334,4271,4288,4309,16998,2023-12-20
2023-12-21,4320,4267,4300,4288,20606,2023-12-21
2023-12-22,4325,4275,4277,4311,12715,2023-12-22
2023-12-26,4343,4276,4320,4283,9121,2023-12-26
2023-12-27,4315,4277,4296,4280,12495,2023-12-27
2023-12-28,4302,4235,4288,4256,16113,2023-12-28
2023-12-29,4256,4193,4256,4196,18596,2023-12-29
2024-01-02,4287,4200,4209,4275,24130,2024-01-02
2024-01-03,4273,4204,4265,4238,25190,2024-01-03
2024-01-04,4267,4232,4233,4260,15720,2024-01-04
2024-01-05,4274,4194,4260,4204,19627,2024-01-05
